Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1994","1994","t","2735","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1995","1995","t","2934","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1996","1996","t","5423","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1997","1997","t","8457","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1998","1998","t","5570","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","1999","1999","t","5306","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2000","2000","t","3514.86","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2001","2001","t","4328","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2002","2002","t","15294","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2003","2003","t","14776","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2004","2004","t","5686","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2005","2005","t","2143","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2006","2006","t","1916","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2007","2007","t","398","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2008","2008","t","397","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2009","2009","t","900","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2010","2010","t","1265","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2011","2011","t","1103","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2012","2012","t","1263","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2013","2013","t","3564","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2014","2014","t","4969.42","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2015","2015","t","7192.41","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2016","2016","t","3622.79","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2017","2017","t","6431.01","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2018","2018","t","6386","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2019","2019","t","5498.78","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2020","2020","t","5985.19","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2021","2021","t","9991.5","A","Official figure",""
"TCL","Crops and livestock products","792","Türkiye","5910","Export Quantity","02910","Natural honey","2022","2022","t","17177.03","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","1994","1994","t","312","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","1995","1995","t","108","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","1996","1996","t","290","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","1997","1997","t","406","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","1998","1998","t","382.89","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","1999","1999","t","485","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2000","2000","t","155","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2001","2001","t","1412","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2002","2002","t","3374","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2003","2003","t","3188","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2004","2004","t","4642","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2005","2005","t","3814","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2006","2006","t","6561","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2007","2007","t","3516","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2008","2008","t","3264","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2009","2009","t","7362","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2010","2010","t","5383","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2011","2011","t","9874","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2012","2012","t","13338","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2013","2013","t","21674","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2014","2014","t","36335.67","A","Official figure",""
"TCL","Crops and livestock products","804","Ukraine","5910","Export Quantity","02910","Natural honey","2015","2015","t","36013","A","Official figure",""
